BerufId;Beruf
15155;Assistent des Empfangschefs
12275;Assistent des Finanzchefs
13011;Assistent des Flughafenstationsleiters
11243;Assistent des Personalchefs
11325;Assistent des Produktechefs
9280;Assistent des Rayonchefs
9273;Assistent des Verkaufsleiters
12282;Assistent des Vizepräsidenten
16944;Assistent ETH
13079;Assistent Flugnavigation
16943;Assistent HTL
12994;Assistent im Flugverkehrsleitdienst
8492;Assistent Technische Leitung
11425;Assistent-Manager
13297;Assistent-Teleoperateur
15852;Assistenzarzt
16898;Assistenzprofessor
16339;Assistenztierarzt
16280;Assistenzzahnarzt
17680;Assyriologe
15771;Ästhetikassistent
18541;Astrologe
18497;Astrologieberater
17291;Astrologielehrer
17320;Astrologielehrer 1
13072;Astronaut
17807;Astronom
17255;Astronomielehrer
14116;Astrophotograph
17950;Astrophysiker
18495;Astropsychologischer Berater
16700;Asylantenbetreuer
11806;Asylkoordinator
10812;Atelierleiter
18631;Ateliermitarbeiter
14131;Atelierphotograph
17114;Atemlehrer
17096;Atempädagoge
17099;Atempädagoge 1
17112;Atemtherapeut
18211;Athlet
16018;Atlaslogist
17846;Atmosphärenwissenschafter
7622;Atomingenieur
7717;Atomingenieur 1
18667;Atomkraftwerkangestellter
7322;Atomkraftwerkbauingenieur
17956;Atomphysiker
8789;Atomreaktoroperateur
9005;Atomreaktorwärter
11185;Attaché
11053;Attaché mit besonderen Zuständigkeiten
6489;Ätzer
14509;Ätzer-Maler
6958;Ätzkaliarbeiter
15474;Au-pair-Junge
14215;Audio Editor
9266;Audio- und Videotheksangestellter
16248;Audio-Psycho-Phonologie-Therapeut
14174;Audio-Video-Angestellter
9676;Audio-Video-Berater
5157;Audio-Video-Elektroniker
5164;Audio-Video-Elektroniker, dipl. HFP
17366;Audio-Video-Lehrer
14173;Audio-Video-Spezialist
14177;Audio-Video-Spezialist 1
5163;Audio-Video-Techniker
17116;Audioagoge
16220;Audiologe
16130;Audiometrist
17111;Audiopädagoge
18025;Audiophonologe
5160;Audiotechniker
5174;Audiovisions-Assistent, eidg. FA
5175;Audiovisionsassistent
10461;Audit
13684;Auditor (Militär)
13688;Auditor am Bezirksgericht
1170;Aufbäumer
430;Aufforstungsarbeiter
18164;Auffüller
17410;Aufgabenhilfe
9050;Aufkäufer
6282;Aufleger (in Papierindustrie)
